okres,pocet,okres_kod,pocobyv,pct
Ústí nad Labem,646,CZ0427,119498,0.5405948216706556
Teplice,610,CZ0426,128387,0.47512598627586905
Sokolov,363,CZ0413,88795,0.40880680218480775
Chomutov,500,CZ0422,124347,0.4021005733954176
Most,443,CZ0425,112594,0.3934490292555553
Ostrava-město,1195,CZ0806,322419,0.37063572556207913
Karviná,882,CZ0803,249377,0.35368137398396804
Děčín,446,CZ0421,130329,0.3422108663459399
Bruntál,291,CZ0801,92453,0.3147545239202622
Cheb,285,CZ0411,91563,0.3112610989155008
Louny,253,CZ0424,86372,0.29291900152827305
Brno-město,1054,CZ0642,379527,0.27771410202699676
Litoměřice,298,CZ0423,119553,0.24926183366373073
Jeseník,96,CZ0711,38659,0.24832509894203164
Česká Lípa,251,CZ0511,103094,0.24346712708790036
Kladno,377,CZ0203,164051,0.2298065845377352
Karlovy Vary,254,CZ0412,115328,0.2202413984461709
Liberec,363,CZ0513,173948,0.2086830547060041
Tachov,111,CZ0327,53281,0.2083294232465607
Náchod,224,CZ0523,110420,0.20286180039847854
Český Krumlov,123,CZ0312,61187,0.20102309314069983
Plzeň-město,379,CZ0323,189747,0.19973965332785235
Kolín,200,CZ0204,100457,0.19909015797804036
Přerov,248,CZ0714,130515,0.1900164732023139
Trutnov,225,CZ0525,118538,0.18981254956216573
Jablonec nad Nisou,170,CZ0512,90376,0.18810303620430202
Šumperk,220,CZ0715,120991,0.1818317064905654
Nový Jičín,264,CZ0804,151566,0.17418154467360752
České Budějovice,330,CZ0311,193337,0.17068641801621004
Domažlice,105,CZ0321,61571,0.17053482970879147
Prostějov,180,CZ0713,108669,0.16564061507881733
Příbram,188,CZ020B,114403,0.16433135494698564
Olomouc,385,CZ0712,234344,0.1642883965452497
Prachatice,83,CZ0315,50700,0.16370808678500987
Frýdek-Místek,348,CZ0802,213686,0.16285577904027404
Jihlava,179,CZ0632,112930,0.15850526875055346
Rokycany,76,CZ0326,48602,0.1563721657544957
Plzeň-jih,98,CZ0324,62736,0.1562101504718184
Znojmo,173,CZ0647,113797,0.15202509732242503
Mělník,163,CZ0206,107237,0.15199977619664856
Písek,105,CZ0314,71067,0.14774789986913756
Jindřichův Hradec,134,CZ0313,90835,0.1475202289866241
Hlavní město Praha,1907,CZ0100,1294513,0.1473140864556787
Rakovník,81,CZ020C,55407,0.1461909145053874
Tábor,149,CZ0317,102310,0.14563581272602874
Strakonice,102,CZ0316,70760,0.14414923685698136
Plzeň-sever,112,CZ0325,78561,0.14256437672636552
Nymburk,139,CZ0208,98837,0.1406355919341947
Mladá Boleslav,178,CZ0207,127776,0.13930628600050088
Jičín,109,CZ0522,79632,0.13687964637331726
Pardubice,235,CZ0532,172022,0.1366104335491972
Kroměříž,144,CZ0721,105670,0.13627330368127188
Břeclav,157,CZ0644,115757,0.13562894684554713
Hodonín,208,CZ0645,154353,0.13475604620577508
Opava,235,CZ0805,176385,0.13323128383932875
Hradec Králové,214,CZ0521,163520,0.13087084148727984
Ústí nad Orlicí,177,CZ0534,137841,0.1284088188565086
Rychnov nad Kněžnou,97,CZ0524,78979,0.12281745780523938
Zlín,228,CZ0724,191661,0.11896003881853898
Třebíč,126,CZ0634,111426,0.11307953260459858
Kutná Hora,83,CZ0205,75189,0.11038848767771882
Semily,81,CZ0514,73882,0.10963428169242846
Blansko,119,CZ0641,108545,0.1096319498825372
Klatovy,94,CZ0322,86318,0.10889965013091128
Vyškov,99,CZ0646,91325,0.10840405146454969
Beroun,100,CZ0202,92353,0.10828018580879885
Uherské Hradiště,153,CZ0722,142434,0.10741817262732213
Brno-venkov,236,CZ0643,219903,0.107320045656494
Svitavy,108,CZ0533,104316,0.10353157713102495
Chrudim,107,CZ0531,104158,0.10272854701511165
Vsetín,147,CZ0723,143291,0.10258843891102722
Benešov,96,CZ0201,97972,0.09798718001061528
Praha-východ,168,CZ0209,176203,0.09534457415594513
Pelhřimov,63,CZ0633,72143,0.08732655974938663
Žďár nad Sázavou,102,CZ0635,117931,0.0864912533600156
Havlíčkův Brod,77,CZ0631,94486,0.08149355460068158
Praha-západ,111,CZ020A,142910,0.07767126163319572
